lon,lat,vs30,vs30measured
172.161,-44.048,760.0,1
172.17,-44.048,760.0,1
172.179,-44.048,760.0,1
172.188,-44.048,760.0,1
172.197,-44.048,760.0,1
172.206,-44.048,760.0,1
172.215,-44.048,760.0,1
172.224,-44.048,760.0,1
172.233,-44.048,760.0,1
172.242,-44.048,760.0,1
172.251,-44.048,760.0,1
172.26,-44.048,760.0,1
172.269,-44.048,760.0,1
172.278,-44.048,760.0,1
172.287,-44.048,760.0,1
172.296,-44.048,760.0,1
172.305,-44.048,760.0,1
172.314,-44.048,760.0,1
172.323,-44.048,760.0,1
172.332,-44.048,760.0,1
172.341,-44.048,760.0,1
172.35,-44.048,760.0,1
172.359,-44.048,760.0,1
172.368,-44.048,760.0,1
172.377,-44.048,760.0,1
172.386,-44.048,760.0,1
172.395,-44.048,760.0,1
172.404,-44.048,760.0,1
172.413,-44.048,760.0,1
172.422,-44.048,760.0,1
172.431,-44.048,760.0,1
172.44,-44.048,760.0,1
172.449,-44.048,760.0,1
172.458,-44.048,760.0,1
172.467,-44.048,760.0,1
172.476,-44.048,760.0,1
172.485,-44.048,760.0,1
172.494,-44.048,760.0,1
172.503,-44.048,760.0,1
172.512,-44.048,760.0,1
172.521,-44.048,760.0,1
172.53,-44.048,760.0,1
172.539,-44.048,760.0,1
172.548,-44.048,760.0,1
172.557,-44.048,760.0,1
172.566,-44.048,760.0,1
172.575,-44.048,760.0,1
172.584,-44.048,760.0,1
172.593,-44.048,760.0,1
172.602,-44.048,760.0,1
172.611,-44.048,760.0,1
172.62,-44.048,760.0,1
172.629,-44.048,760.0,1
172.638,-44.048,760.0,1
172.647,-44.048,760.0,1
172.656,-44.048,760.0,1
172.665,-44.048,760.0,1
172.674,-44.048,760.0,1
172.683,-44.048,760.0,1
172.692,-44.048,760.0,1
172.701,-44.048,760.0,1
172.71,-44.048,760.0,1
172.719,-44.048,760.0,1
172.728,-44.048,760.0,1
172.737,-44.048,760.0,1
172.746,-44.048,760.0,1
172.755,-44.048,760.0,1
172.764,-44.048,760.0,1
172.773,-44.048,760.0,1
172.782,-44.048,760.0,1
172.791,-44.048,760.0,1
172.8,-44.048,760.0,1
172.809,-44.048,760.0,1
172.818,-44.048,760.0,1
172.827,-44.048,760.0,1
172.836,-44.048,760.0,1
172.845,-44.048,760.0,1
172.854,-44.048,760.0,1
172.863,-44.048,760.0,1
172.872,-44.048,760.0,1
172.881,-44.048,760.0,1
172.89,-44.048,760.0,1
172.899,-44.048,760.0,1
172.908,-44.048,760.0,1
172.917,-44.048,760.0,1
172.926,-44.048,760.0,1
172.935,-44.048,760.0,1
172.944,-44.048,760.0,1
172.953,-44.048,760.0,1
172.962,-44.048,760.0,1
172.971,-44.048,760.0,1
172.98,-44.048,760.0,1
172.989,-44.048,760.0,1
172.998,-44.048,760.0,1
173.007,-44.048,760.0,1
173.016,-44.048,760.0,1
173.025,-44.048,760.0,1
173.034,-44.048,760.0,1
173.043,-44.048,760.0,1
173.052,-44.048,760.0,1
173.061,-44.048,760.0,1
173.07,-44.048,760.0,1
173.079,-44.048,760.0,1
173.088,-44.048,760.0,1
173.097,-44.048,760.0,1
173.106,-44.048,760.0,1
173.115,-44.048,760.0,1
173.124,-44.048,760.0,1
173.133,-44.048,760.0,1
173.142,-44.048,760.0,1
173.151,-44.048,760.0,1
173.16,-44.048,760.0,1
173.169,-44.048,760.0,1
173.178,-44.048,760.0,1
173.187,-44.048,760.0,1
173.196,-44.048,760.0,1
173.205,-44.048,760.0,1
173.214,-44.048,760.0,1
