#,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.24.1', start_date='2026-03-04T10:33:37', checksum=3862909754"
custom_site_id,lon,lat,gmv_PGA,gsd_PGA,gmv_SA(0.1),gsd_SA(0.1),gmv_SA(0.3),gsd_SA(0.3),gmv_SA(0.5),gsd_SA(0.5),gmv_SA(0.7),gsd_SA(0.7),gmv_SA(1.0),gsd_SA(1.0),gmv_SA(1.5),gsd_SA(1.5)
rb4mmt7c,1.72161E+02,-4.40480E+01,2.10158E-02,1.36906E+00,4.24938E-02,1.36132E+00,4.21475E-02,1.37883E+00,3.04222E-02,1.37060E+00,2.25296E-02,1.36617E+00,1.53053E-02,1.35222E+00,8.90744E-03,1.34785E+00
rb4mmv63,1.72170E+02,-4.40480E+01,2.12156E-02,1.36925E+00,4.29298E-02,1.36156E+00,4.25377E-02,1.37859E+00,3.06803E-02,1.37040E+00,2.27110E-02,1.36606E+00,1.54221E-02,1.35230E+00,8.97077E-03,1.34824E+00
rb4mqj2c,1.72179E+02,-4.40480E+01,2.14161E-02,1.36945E+00,4.33672E-02,1.36181E+00,4.29290E-02,1.37836E+00,3.09390E-02,1.37022E+00,2.28928E-02,1.36595E+00,1.55392E-02,1.35239E+00,9.03427E-03,1.34861E+00
rb4mqjr3,1.72188E+02,-4.40480E+01,2.16170E-02,1.36965E+00,4.38058E-02,1.36207E+00,4.33213E-02,1.37814E+00,3.11984E-02,1.37005E+00,2.30751E-02,1.36585E+00,1.56566E-02,1.35248E+00,9.09792E-03,1.34900E+00
rb4mqmq1,1.72197E+02,-4.40480E+01,2.18184E-02,1.36985E+00,4.42454E-02,1.36235E+00,4.37143E-02,1.37794E+00,3.14583E-02,1.36989E+00,2.32578E-02,1.36576E+00,1.57742E-02,1.35257E+00,9.16168E-03,1.34938E+00
rb4mqtk9,1.72206E+02,-4.40480E+01,2.20200E-02,1.37008E+00,4.46858E-02,1.36263E+00,4.41079E-02,1.37775E+00,3.17185E-02,1.36973E+00,2.34406E-02,1.36568E+00,1.58919E-02,1.35266E+00,9.22554E-03,1.34978E+00
rb4mqv71,1.72215E+02,-4.40480E+01,2.22219E-02,1.37031E+00,4.51268E-02,1.36293E+00,4.45020E-02,1.37757E+00,3.19789E-02,1.36957E+00,2.36237E-02,1.36560E+00,1.60097E-02,1.35275E+00,9.28944E-03,1.35017E+00
rb4mrj39,1.72224E+02,-4.40480E+01,2.24238E-02,1.37054E+00,4.55680E-02,1.36324E+00,4.48961E-02,1.37740E+00,3.22394E-02,1.36943E+00,2.38067E-02,1.36552E+00,1.61276E-02,1.35284E+00,9.35335E-03,1.35055E+00
rb4mrm21,1.72233E+02,-4.40480E+01,2.26258E-02,1.37077E+00,4.60093E-02,1.36356E+00,4.52902E-02,1.37724E+00,3.24998E-02,1.36930E+00,2.39897E-02,1.36545E+00,1.62454E-02,1.35296E+00,9.41725E-03,1.35095E+00
rb4mrmqc,1.72242E+02,-4.40480E+01,2.28275E-02,1.37104E+00,4.64502E-02,1.36388E+00,4.56839E-02,1.37709E+00,3.27600E-02,1.36917E+00,2.41726E-02,1.36539E+00,1.63631E-02,1.35305E+00,9.48108E-03,1.35135E+00
