#,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.24.1', start_date='2026-03-04T10:33:37', checksum=3862909754"
event_id,rlz_id,sig_inter_PGA,sig_inter_SA(0.1),sig_inter_SA(0.3),sig_inter_SA(0.5),sig_inter_SA(0.7),sig_inter_SA(1.0),sig_inter_SA(1.5),eps_inter_PGA,eps_inter_SA(0.1),eps_inter_SA(0.3),eps_inter_SA(0.5),eps_inter_SA(0.7),eps_inter_SA(1.0),eps_inter_SA(1.5)
0,8,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,-8.942294E-10,-3.674040E-10,9.095625E-10,-8.066365E-10,-2.706919E-10,7.978961E-10,-7.592588E-10
1,7,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.864182E-10,1.394049E-10,-3.075028E-10,-4.491624E-10,-5.090412E-10,9.397937E-11,-6.545890E-10
2,6,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,-1.438350E-10,-5.029587E-10,4.010656E-10,-8.520416E-10,-3.943356E-10,4.521438E-10,-3.738375E-11
3,4,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,-5.594539E-10,-7.790202E-10,-7.674590E-10,6.352505E-10,5.426681E-10,4.447910E-10,-3.182769E-10
4,5,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.395485E-10,8.777458E-10,4.196888E-11,3.460977E-10,-6.715822E-10,-1.334777E-10,-6.614920E-10
5,3,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,-9.834819E-10,-4.586060E-10,-8.027278E-10,-7.243777E-10,-7.547319E-10,-9.702175E-10,2.007457E-11
6,11,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,-9.577630E-11,4.691026E-10,3.473417E-10,-9.051603E-11,6.360272E-11,-5.108025E-10,-4.541173E-10
7,10,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,-9.912808E-10,4.842545E-10,-3.977419E-10,1.239664E-10,-6.745151E-10,2.777827E-10,-8.754499E-12
8,9,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.401949E-10,-7.605836E-11,-8.629105E-10,4.322353E-10,8.635404E-10,-5.991554E-10,9.514575E-10
9,20,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.730019E-10,7.446572E-10,6.464882E-10,4.424670E-11,4.911700E-10,-9.329449E-12,-8.405362E-10
10,19,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,-7.156328E-10,-6.253674E-10,-8.044193E-10,-7.988782E-10,-3.692790E-10,5.450718E-10,-2.463367E-10
11,18,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,7.058411E-10,-5.537731E-10,4.103616E-10,8.228096E-10,9.908276E-10,8.782314E-10,-5.609831E-11
12,14,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.833060E-10,8.782606E-10,5.323956E-10,2.991630E-10,8.413413E-10,-6.427054E-10,6.972876E-10
13,13,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.913315E-10,2.514629E-10,6.073437E-10,-9.338404E-10,3.303600E-11,4.387949E-10,-3.770125E-10
14,12,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,-1.896232E-10,-1.050253E-10,-5.911596E-10,-5.280547E-10,6.766864E-10,-6.070726E-10,9.364667E-10
15,17,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,-2.779407E-10,-7.718745E-10,-3.846035E-10,5.812989E-10,9.181865E-10,2.390420E-10,1.387587E-10
16,16,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,6.736901E-10,-3.637567E-10,-5.477876E-10,2.370786E-10,8.686462E-10,6.732813E-10,1.638325E-10
17,15,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,-1.026284E-11,-4.375397E-10,8.029329E-10,-8.543804E-10,-7.957179E-11,-7.362478E-10,3.081237E-10
18,1,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,-7.911888E-10,2.106999E-10,-4.611626E-11,8.583544E-10,-8.591242E-10,-6.661857E-10,6.683271E-10
19,2,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,8.469433E-10,-2.372001E-10,-3.809164E-10,4.737334E-10,6.306008E-10,7.574091E-10,-4.724496E-10
20,0,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.045784E-10,9.896167E-10,-6.073138E-10,6.242699E-10,-4.253572E-10,-6.534867E-10,5.186886E-10
