#,,,,,,,,"generated_by='OpenQuake engine 3.24.1', start_date='2026-03-04T10:33:37', checksum=3862909754"
sids,lon,lat,depth,vs30,vs30measured,z1pt0,z2pt5,custom_site_id
0,172.16100,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4mmt7c
1,172.17000,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4mmv63
2,172.17900,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4mqj2c
3,172.18800,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4mqjr3
4,172.19700,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4mqmq1
5,172.20600,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4mqtk9
6,172.21500,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4mqv71
7,172.22400,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4mrj39
8,172.23300,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4mrm21
9,172.24200,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4mrmqc
10,172.25100,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4mrtm3
11,172.26000,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4mrv7c
12,172.26900,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4t2j63
13,172.27800,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4t2m31
14,172.28700,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4t2mr9
15,172.29600,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4t2tq1
16,172.30500,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4t2vk9
17,172.31400,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4t3j71
18,172.32300,-44.04800,0.00000,7.60000E+02,0,1.00000E+02,5.00000E+00,rb4t3m3c
