#,,"generated_by='OpenQuake engine 3.24.1', start_date='2026-03-04T10:33:37', checksum=3862909754"
custom_site_id,lon,lat
rb4mmt7c,172.16100,-44.04800
rb4mmv63,172.17000,-44.04800
rb4mqj2c,172.17900,-44.04800
rb4mqjr3,172.18800,-44.04800
rb4mqmq1,172.19700,-44.04800
rb4mqtk9,172.20600,-44.04800
rb4mqv71,172.21500,-44.04800
rb4mrj39,172.22400,-44.04800
rb4mrm21,172.23300,-44.04800
rb4mrmqc,172.24200,-44.04800
rb4mrtm3,172.25100,-44.04800
rb4mrv7c,172.26000,-44.04800
rb4t2j63,172.26900,-44.04800
rb4t2m31,172.27800,-44.04800
rb4t2mr9,172.28700,-44.04800
rb4t2tq1,172.29600,-44.04800
rb4t2vk9,172.30500,-44.04800
rb4t3j71,172.31400,-44.04800
rb4t3m3c,172.32300,-44.04800
rb4t3t23,172.33200,-44.04800
rb4t3tqc,172.34100,-44.04800
rb4t3vm3,172.35000,-44.04800
rb4t6j7c,172.35900,-44.04800
rb4t6m69,172.36800,-44.04800
rb4t6t31,172.37700,-44.04800
rb4t6tr9,172.38600,-44.04800
rb4t6vq1,172.39500,-44.04800
rb4t7jkc,172.40400,-44.04800
rb4t7m73,172.41300,-44.04800
rb4t7t3c,172.42200,-44.04800
rb4t7v23,172.43100,-44.04800
rb4t7vqc,172.44000,-44.04800
rb4tkjm9,172.44900,-44.04800
rb4tkmk1,172.45800,-44.04800
rb4tkt69,172.46700,-44.04800
rb4tkv31,172.47600,-44.04800
rb4tkvr9,172.48500,-44.04800
rb4tmjq3,172.49400,-44.04800
rb4tmmkc,172.50300,-44.04800
rb4tmt73,172.51200,-44.04800
rb4tmv3c,172.52100,-44.04800
rb4tqj29,172.53000,-44.04800
rb4tqjr1,172.53900,-44.04800
rb4tqmm9,172.54800,-44.04800
rb4tqtk1,172.55700,-44.04800
rb4tqv69,172.56600,-44.04800
rb4trj33,172.57500,-44.04800
rb4trjrc,172.58400,-44.04800
rb4trmq3,172.59300,-44.04800
rb4trtkc,172.60200,-44.04800
rb4trv73,172.61100,-44.04800
rb4v2j61,172.62000,-44.04800
rb4v2m29,172.62900,-44.04800
rb4v2mr1,172.63800,-44.04800
rb4v2tm9,172.64700,-44.04800
rb4v2vk3,172.65600,-44.04800
rb4v3j6c,172.66500,-44.04800
rb4v3m33,172.67400,-44.04800
rb4v3mrc,172.68300,-44.04800
rb4v3tq3,172.69200,-44.04800
rb4v3vm1,172.70100,-44.04800
rb4v6j79,172.71000,-44.04800
rb4v6m61,172.71900,-44.04800
rb4v6t29,172.72800,-44.04800
rb4v6tr1,172.73700,-44.04800
rb4v6vmc,172.74600,-44.04800
rb4v7jk3,172.75500,-44.04800
rb4v7m6c,172.76400,-44.04800
rb4v7t33,172.77300,-44.04800
rb4v7v21,172.78200,-44.04800
rb4v7vq9,172.79100,-44.04800
rb4vkjm1,172.80000,-44.04800
rb4vkm79,172.80900,-44.04800
rb4vkt61,172.81800,-44.04800
rb4vkv2c,172.82700,-44.04800
rb4vkvr3,172.83600,-44.04800
rb4vmjmc,172.84500,-44.04800
rb4vmmk3,172.85400,-44.04800
rb4vmt6c,172.86300,-44.04800
rb4vmv39,172.87200,-44.04800
rb4vqj21,172.88100,-44.04800
rb4vqjq9,172.89000,-44.04800
rb4vqmm1,172.89900,-44.04800
rb4vqt7c,172.90800,-44.04800
rb4vqv63,172.91700,-44.04800
rb4vrj2c,172.92600,-44.04800
rb4vrjr3,172.93500,-44.04800
rb4vrmmc,172.94400,-44.04800
rb4vrtk9,172.95300,-44.04800
rb4vrv71,172.96200,-44.04800
rb5j2j39,172.97100,-44.04800
rb5j2m21,172.98000,-44.04800
rb5j2mq9,172.98900,-44.04800
rb5j2tm3,172.99800,-44.04800
rb5j2v7c,173.00700,-44.04800
rb5j3j63,173.01600,-44.04800
rb5j3m2c,173.02500,-44.04800
rb5j3mr9,173.03400,-44.04800
rb5j3tq1,173.04300,-44.04800
rb5j3vk9,173.05200,-44.04800
rb5j6j71,173.06100,-44.04800
rb5j6m39,173.07000,-44.04800
rb5j6t23,173.07900,-44.04800
rb5j6tqc,173.08800,-44.04800
rb5j6vm3,173.09700,-44.04800
rb5j7j7c,173.10600,-44.04800
rb5j7m63,173.11500,-44.04800
rb5j7t31,173.12400,-44.04800
rb5j7tr9,173.13300,-44.04800
rb5j7vq1,173.14200,-44.04800
rb5jkjk9,173.15100,-44.04800
rb5jkm73,173.16000,-44.04800
rb5jkt3c,173.16900,-44.04800
rb5jkv23,173.17800,-44.04800
rb5jkvqc,173.18700,-44.04800
rb5jmjm3,173.19600,-44.04800
rb5jmmk1,173.20500,-44.04800
rb5jmt69,173.21400,-44.04800
rb5jmv31,173.22300,-44.04800
rb5jmvr9,173.23200,-44.04800
rb5jqjq1,173.24100,-44.04800
rb5jqmkc,173.25000,-44.04800
rb5jqt73,173.25900,-44.04800
rb5jqv3c,173.26800,-44.04800
rb5jrj23,173.27700,-44.04800
rb5jrjr1,173.28600,-44.04800
rb5jrmm9,173.29500,-44.04800
rb5jrtk1,173.30400,-44.04800
rb5jrv69,173.31300,-44.04800
rb5m2j31,173.32200,-44.04800
rb5m2jrc,173.33100,-44.04800
rb5m2mq3,173.34000,-44.04800
rb5m2tkc,173.34900,-44.04800
rb5m2v73,173.35800,-44.04800
rb5m3j3c,173.36700,-44.04800
rb5m3m29,173.37600,-44.04800
rb5m3mr1,173.38500,-44.04800
rb5m3tm9,173.39400,-44.04800
rb4mmwgy,172.16100,-44.03900
rb4mmyfq,172.17000,-44.03900
rb4mqnby,172.17900,-44.03900
rb4mqnzq,172.18800,-44.03900
rb4mqqyn,172.19700,-44.03900
rb4mqwuw,172.20600,-44.03900
rb4mqygn,172.21500,-44.03900
rb4mrncw,172.22400,-44.03900
rb4mrqbn,172.23300,-44.03900
rb4mrqyy,172.24200,-44.03900
rb4mrwvq,172.25100,-44.03900
rb4mrygy,172.26000,-44.03900
rb4t2nfq,172.26900,-44.03900
rb4t2qcn,172.27800,-44.03900
rb4t2qzw,172.28700,-44.03900
rb4t2wyn,172.29600,-44.03900
rb4t2yuw,172.30500,-44.03900
rb4t3ngn,172.31400,-44.03900
rb4t3qcy,172.32300,-44.03900
rb4t3wbq,172.33200,-44.03900
rb4t3wyy,172.34100,-44.03900
rb4t3yvq,172.35000,-44.03900
rb4t6ngy,172.35900,-44.03900
rb4t6qfw,172.36800,-44.03900
rb4t6wcn,172.37700,-44.03900
rb4t6wzw,172.38600,-44.03900
rb4t6yyn,172.39500,-44.03900
rb4t7nuy,172.40400,-44.03900
rb4t7qgq,172.41300,-44.03900
rb4t7wcy,172.42200,-44.03900
rb4t7ybq,172.43100,-44.03900
rb4t7yyy,172.44000,-44.03900
rb4tknvw,172.44900,-44.03900
rb4tkqun,172.45800,-44.03900
